,sentence,Word,Tag,POS
0,sentence : 0,@LewisDixon,O,NN
1,sentence : 0,Trust,O,NNP
2,sentence : 0,me,O,PRP
4,sentence : 0,im,O,VB
5,sentence : 0,gonna,O,NN
6,sentence : 0,be,O,VB
7,sentence : 0,bringing,O,VBG
8,sentence : 0,out,O,RP
9,sentence : 0,music,O,NN
10,sentence : 0,like,O,IN
11,sentence : 0,theres,O,VBZ
12,sentence : 0,no,O,DT
13,sentence : 0,tomorrow,O,NN
15,sentence : 0,Be,O,NNP
16,sentence : 0,doing,O,VBG
17,sentence : 0,pure,O,JJ
18,sentence : 0,blog,O,NN
19,sentence : 0,videos,O,NNS
20,sentence : 0,&amp;,O,VBP
21,sentence : 0,freestyle,O,JJ
22,sentence : 0,videos,O,NNS
23,sentence : 0,#Moesh,O,JJ
25,sentence : 1,@joshHnumber1fan,O,NN
26,sentence : 1,its,O,PRP$
27,sentence : 1,okay,O,NN
28,sentence : 1,then,O,RB
30,sentence : 1,make,O,VBP
31,sentence : 1,it,O,PRP
32,sentence : 1,when,O,WRB
33,sentence : 1,it,O,PRP
34,sentence : 1,works,O,VBZ
35,sentence : 1,:D,O,NNP
36,sentence : 2,Asprin,O,NNP
38,sentence : 2,check,O,NN
40,sentence : 2,cup,O,NN
41,sentence : 2,of,O,IN
42,sentence : 2,tea,O,NN
44,sentence : 2,check,O,NN
46,sentence : 2,pillow,O,NN
48,sentence : 2,check,O,NN
50,sentence : 2,warm,O,JJ
51,sentence : 2,sleeping,O,NN
52,sentence : 2,bag,O,NN
54,sentence : 2,check,O,NN
56,sentence : 2,fanfiction,O,NN
57,sentence : 2,on,O,IN
58,sentence : 2,the,O,DT
59,sentence : 2,laptop,O,NN
61,sentence : 2,check,O,VB
63,sentence : 2,Time,O,NNP
64,sentence : 2,to,O,TO
65,sentence : 2,settle,O,VB
66,sentence : 2,down,O,RP
67,sentence : 2,and,O,CC
68,sentence : 2,relax,O,VB
69,sentence : 3,@angelportugues,O,NNS
70,sentence : 3,LMAO,O,NNP
